1步杀421,1Rb1kc3/4a4/4bc3/1N2C4/9/9/9/9/9/3K5 w
3步杀2284,3a1k3/4a3R/9/5N3/9/4C4/9/9/3p3rr/4K4 w
3步杀2285,4ka3/3R5/9/6N2/9/4C4/9/4r4/3pA2r1/4K4 w
3步杀2286,2b1ka3/2NR5/4b4/9/9/9/9/3C5/3rp3r/5K3 w
3步杀2287,2bak2r1/4a2N1/4b4/4CR3/9/9/9/4B4/4A1p1r/2BA1K3 w
3步杀2288,3a1kb2/4R1N2/4b1r2/9/9/7C1/9/3p5/2r1p4/3K5 w
3步杀2289,2bak1bRC/4a4/9/3r1N3/9/9/9/3p5/2r1p4/3K5 w
3步杀2290,R1b1k1b2/4a2C1/3a5/5N2r/9/9/9/5p3/3rp4/5K3 w
3步杀2291,2bak2r1/4a2N1/4b4/4CR3/9/9/7r1/4B4/3pp4/2B2K3 w
3步杀2292,2b1R4/3k2NrC/b2a5/9/9/9/9/9/c2K5/r1B6 w
3步杀2293,2N2a1C1/3ka3c/b3b4/9/9/9/9/9/4r1r2/2R2K3 w
3步杀2294,2bak2r1/4a2N1/4b4/4CR3/6r2/9/9/4B4/4A4/2BA1K2c w
3步杀2295,9/c3k4/CN4R2/9/9/9/9/4p4/7rr/4K4 w
3步杀2296,2ba2b2/5R3/3ak4/4N4/9/9/r5r2/1C3A3/9/1cBp1K3 w
3步杀2297,c2ak1b2/4a4/4b4/9/3RN4/8r/9/4CA3/4AK1p1/6r2 w
3步杀2298,3a1k2c/1R7/C2N5/9/9/9/5r3/5p3/4p1r2/5K3 w
3步杀2299,4Ra1c1/3k5/1CN6/9/9/9/9/5p3/4p2rr/5K3 w
3步杀2300,2b1k1b2/4aR3/4N1r2/4C4/3c5/9/9/9/1rp1p4/3K5 w
3步杀2301,3R2b1c/5kN2/3ab3r/9/9/7C1/9/4p4/3r1p3/4K4 w
3步杀2302,9/Cc7/3ak4/2RN5/9/9/9/4p4/2rp1pr2/4K4 w
3步杀2303,5R3/3k5/3a5/5Np2/1c3C3/1r5r1/6p2/3K1p3/4p4/9 w
3步杀2304,3akab2/3R4c/2rNb4/C8/2p3p2/9/9/4p4/1r1p1p3/4K4 w
3步杀2305,1r1k5/4a4/9/6pcr/1N7/6c2/3C5/5p3/4p4/1R3K3 w
3步杀2306,1cN1kar2/4a4/9/r3p4/9/9/3R5/2ppC4/2c1p4/3K5 w
3步杀2307,3k1a3/1NR2n3/5a3/1r4C2/9/9/9/9/3p3r1/4K4 w
3步杀2308,3a5/2R6/3k2n2/3Np4/9/C8/9/3r5/3rAK3/6B2 w
3步杀2309,1rba1k3/9/8n/3NR4/5C3/9/5p1r1/9/4p4/5K3 w
3步杀2310,2b1k2r1/3R5/b8/1n3N2C/4p4/9/9/5p1r1/4p4/5K3 w
3步杀2311,2bak3C/4aR3/4b3N/9/9/9/9/2n1p4/3r1r3/c3KA3 w
3步杀2312,9/4k4/1r3RN1C/8n/2b6/9/9/4p4/5p3/1r1cK4 w
3步杀2313,4R1bc1/9/5k1N1/9/6b2/9/9/3p1Cn2/2r1p2r1/3K5 w
3步杀2314,C2a4c/4k4/2Na5/9/1R7/1n7/5r3/5p3/4p1r2/5K3 w
3步杀2315,5k3/3R4C/b3bN3/5c3/1n7/9/9/3p5/2p5r/3Kcr3 w
3步杀2316,9/3k3cr/6C2/6p2/2N1R4/6p2/3c2n2/4p1r2/5K3/9 w
3步杀2317,4k1N1c/9/2R2a3/2p6/2n4c1/9/1r1r5/3C5/3pp4/5K3 w
3步杀2318,2bak1rrc/4a2N1/4b4/4CR2n/9/9/9/9/1c2p1p2/3p1K3 w
3步杀2319,3knRC2/4n4/4N4/9/9/9/9/5p3/rr2p4/5K3 w
3步杀2320,3R3C1/4k4/5a1N1/7n1/1n2p4/9/9/9/1r2p2r1/5K3 w
3步杀2321,2R6/3k2NrC/9/9/9/3p5/3c5/3rnKn2/9/9 w
3步杀2322,2b1c4/3k5/1R2Nn2C/4p4/9/r1n4r1/9/3p5/4p4/3K5 w
3步杀2323,5R3/9/4k4/6p2/6C2/5N3/3np4/2p6/2p3p2/2rrnKc2 w
3步杀2324,5R3/6n2/2N1k4/2C6/1c7/1c5p1/1r5r1/2p3p2/3Knp3/9 w
3步杀2460,3ak4/4aR3/2N6/6CC1/9/3n5/9/9/4p1p2/5K3 w
3步杀2461,2bk2b2/2N1a4/5R3/9/4C3n/1nC1c4/2c6/3p5/4pp3/3K5 w
3步杀2462,C1N2abc1/3k3C1/3a5/9/9/9/3n4R/9/1n1p1p3/c3K1p2 w
3步杀2463,3a5/3ka4/4b1N2/9/9/9/4R4/4BC1C1/4p1p1r/5K3 w
3步杀2464,4kab2/4a4/4b4/4CRN1C/9/9/9/9/1rp1p4/3K5 w
3步杀2465,3N1Rb2/3rk4/4b4/7CC/9/9/9/3p5/2p1p4/3K5 w
3步杀2466,5abC1/5k3/9/5N3/9/9/9/3R5/1p2Cp3/3K2cr1 w
3步杀2467,2ba1k3/4a1N2/4bc3/4CR3/9/6C2/9/4p4/2rp1p3/4K4 w
3步杀2468,2r1ka3/4a4/4b2C1/6CN1/9/9/3R5/4p4/1p2pp3/3K2c2 w
3步杀2469,3akabC1/9/9/c4N3/2b6/9/9/9/1pp1CR3/3K2cr1 w
3步杀2470,c2a2R2/1C2k4/b2a5/9/2b6/3NC4/9/9/3pp4/5Kc1r w
3步杀2471,4k4/C3a4/8n/5N3/9/5R3/9/9/2p2p2r/1C2K4 w
3步杀2472,2rk2b2/4R4/6N2/9/6b2/7C1/9/3C1n3/4p3p/3K5 w
3步杀2473,C1Nak1c2/3R3C1/9/9/9/9/9/2n6/2r1Ap3/4KA3 w
3步杀2474,3R5/C2N4C/c3k4/9/9/9/9/5pn2/4p1r2/5K3 w
3步杀2475,3k1ab2/4n4/3C4c/N8/9/9/1r1R5/5C3/3pA1c2/4KA3 w
3步杀2476,3k1a3/4a4/5Nc2/9/9/3C4C/3R5/4B1n2/4Ap1r1/2BAK3c w
3步杀2477,2b1ka3/4a4/1c2b3c/N8/3R5/6B2/4C1r2/C8/4Ap1n1/3AK4 w
3步杀2478,2bk1a3/4a4/3cb3c/N8/3R5/6B2/4C1r2/C8/4Ap1n1/3AK4 w
3步杀2479,3a5/C7R/3c1k3/9/C4N3/9/9/5p3/r3p4/c2AnK3 w
3步杀2480,3ak1b2/4a4/4b1nnC/2c1CR3/6N2/9/9/9/4A1p1r/3A1K3 w
3步杀2481,6b1c/4a2C1/3k5/9/n2N4n/r8/1C7/9/4p1p2/5K2R w
3步杀2482,5a3/3k5/2Nrb1n2/5R3/4CC3/9/2p6/2n6/3p1p3/2c1K4 w
3步杀2483,2b2kbn1/4a1N2/3R5/4C4/9/9/9/2C1Bn3/3p1ppr1/4K3c w
3步杀2484,6n2/3k5/2Nrb1n2/9/2b6/9/1p7/4CR2B/1c3C3/c3KA3 w
3步杀2485,3a1kb2/4an3/9/6NCC/9/9/2R4r1/9/2nc1pp2/4K3c w
3步杀2486,2b1k4/C3a4/N3b4/1C5n1/8R/3n5/9/B8/2rp1p3/c3Kc3 w
3步杀2487,r1bN2C2/4k4/9/6p2/9/4C4/5n3/4n1c2/3pp1p2/1R3K1c1 w
3步杀2488,2Ck1a3/2R6/9/r4N3/r8/9/9/3C5/4p4/3K1p3 w
3步杀2489,3a1ab2/4krR1C/4bN3/9/9/5r3/9/3p3C1/2p1p4/3K5 w
3步杀2490,1CrN1ab2/r3k4/4c3b/9/9/5R3/9/7C1/9/3K5 w
3步杀2491,1c7/3k5/4N4/4rC3/9/6Rr1/9/6C2/4p4/5K3 w
3步杀2492,1CrN1ab2/r3k4/4c3b/9/9/5R3/9/7C1/4p4/3K5 w
3步杀2493,3a1k3/4a4/4b2R1/4C1N2/3C2b2/9/8c/5p1r1/2p1p1p2/1r1p1K3 w
3步杀2494,3a1arr1/1NC1k3C/9/9/R8/9/6p2/4B4/2n1p4/5K3 w
3步杀2495,3k1C3/4n4/3C4c/Nr1R5/9/9/9/4p4/6r2/4K4 w
3步杀2496,3a3nC/1R4c2/2C1k2r1/9/9/2r4N1/9/9/4p4/3K5 w
3步杀2497,3a3nC/1R4c2/2C1k2r1/9/9/r6N1/9/9/4p4/3K5 w
3步杀2498,1c4r2/3k5/N3b4/4CR3/2b1C4/9/9/9/5p3/2rnK4 w
3步杀2499,3a1k3/3n2RN1/5a3/1CC4r1/6b2/9/9/9/1r3p1c1/4K4 w
3步杀2500,3k1a3/1NR2n3/3a5/1r4CC1/2b6/9/9/9/1c1p3r1/4K4 w
3步杀2501,1rbak4/4a3C/4n4/5N2p/6b2/9/9/3AB4/3pA4/crB1KC1R1 w
3步杀2502,2b3R2/4ak2c/9/6n2/8N/9/9/3CC4/2rp1p3/4KAr1c w
3步杀2503,5a3/3ka4/4b4/3C2C2/9/3R5/9/4BA1n1/1n2r1p2/cr1N1K3 w
3步杀2504,3k1CbC1/2R6/3rc4/n3N4/7n1/4r4/9/9/4p1p2/5K3 w
3步杀2593,3ak4/cc2aRN2/5nn2/7N1/9/C8/9/9/9/4K4 w
3步杀2594,3k2b2/7RN/3r5/4N2C1/9/9/9/9/3p1p3/4K4 w
3步杀2595,5Nb2/5k3/4R4/4C4/8N/9/9/5p3/4p1cr1/5K3 w
3步杀2596,4ka3/R3a4/2N1b4/9/c6N1/r8/C8/9/4p1p2/5K3 w
3步杀2597,2ba1k3/2N1a4/4bc3/9/9/6CN1/5R3/3p5/1r2p4/3K5 w
3步杀2598,4k4/9/5R1c1/2NN5/9/1Cc6/6r2/5p3/4p4/5K3 w
3步杀2599,9/3kn4/b8/N2N5/9/9/9/3r4C/3p1p3/2R1K4 w
3步杀2600,3n1k3/3Ra1N2/5aN1C/9/9/9/9/B2A5/2rp5/c3K1B2 w
3步杀2601,3a3N1/3Ra4/3Nnk3/1c7/9/9/9/3C5/2p1pr3/3K5 w
3步杀2602,5k3/2NR5/5a3/2N6/6r2/9/9/4Bn3/2p1p4/2cK1CB2 w
3步杀2603,3a1kb2/4a1NNR/3r5/9/9/4C4/9/9/2npAc3/2p1KA3 w
3步杀2604,2b1k4/4aR3/5a3/4N4/9/1N7/c3C3c/3A5/2nrA4/4K1B2 w
3步杀2605,2RNk4/9/1N7/9/C8/9/8r/3n5/2c1p4/2c2K3 w
3步杀2606,5k3/4n4/b3N2R1/8r/6p1N/9/8C/9/3p1p1c1/4K2c1 w
3步杀2607,3a2b1C/4k4/5a1N1/2r4n1/9/7N1/9/1n3R3/4Ap3/c2K1A3 w
3步杀2608,4R4/2C6/1N1k5/9/9/1n7/2n1N4/3pc4/1r2p4/3K5 w
3步杀2609,C1bR5/8n/4k4/3N4n/2bN5/9/3p5/3p5/2p1p4/3K1c1r1 w
3步杀2610,3c5/5k3/b2nR1N1b/6N2/4n4/4C4/9/9/4A4/4KA1rc w
3步杀2611,9/5k3/3nR1N2/6N2/4n4/4Cc3/4c4/9/2p1p2r1/3K5 w
3步杀2612,2b2k3/3Nn1R2/b7C/1r3N2c/7n1/6c2/9/5p3/4p4/5K3 w
3步杀2613,4k1N2/9/4NR2c/1n4p2/2b1p1n2/9/9/3cC4/2rp1p3/4K4 w
3步杀2614,N2R2b2/4k4/4bcr2/C8/9/2N6/9/9/4r4/2BK5 w
3步杀2615,1CRak4/9/4Na3/2N6/2b6/9/4c4/4B1r2/4Ar3/2BAK4 w
3步杀2616,Cc7/1N1rk4/3N1R3/9/2b3b1c/9/2r6/5pp2/4p4/5K3 w
3步杀2617,r4k3/1C4Rc1/5N2b/2N6/2b6/9/9/3pp4/2p6/3Kc1r2 w
3步杀2618,5a3/3kaN1C1/2R1n3b/2Nc5/2b6/9/4r4/4B4/4p1r2/5KB2 w
3步杀2619,1rb1R4/9/C2k5/4N4/8r/N2c5/9/2n6/5p3/2p1K4 w
3步杀2620,2b6/1N1knR3/4b4/4N4/7r1/9/9/4C4/4p1p2/1r1c1K3 w
3步杀2621,5N3/1r2k4/R8/4N4/9/9/9/3p5/4p2p1/2CK1nrc1 w
3步杀2622,2bak3C/1N2a4/4bcN2/2r6/9/9/9/9/1n1p1r3/c3KABR1 w
3步杀2623,2Nk5/8C/n2N1R3/7rr/9/5c3/9/3pp4/4c4/3K5 w
3步杀2624,1C1R2Nc1/9/b2Nk4/6c1r/9/9/1n7/2r6/6p2/3p1K3 w
3步杀2625,4k4/1N3R3/9/9/2cc2p2/4N4/3p2p2/2nrBKC2/6r2/9 w
3步杀2626,1cb2k3/4R4/b8/2N2N3/4n1p2/9/5c1r1/3p1C3/1r1p5/4K4 w
3步杀2627,2bR2c2/4k2C1/b3n4/4N1N2/9/9/9/2rp5/4p1p2/3K2c1r w
3步杀2628,4k4/N6R1/1rcaN4/8p/8n/4r4/3C1p3/3c5/2p1p4/3K5 w
3步杀2629,1r3RN2/4k4/3n5/4N4/n8/9/9/3pp4/2p1p2r1/C2K5 w
3步杀2630,C1baka1n1/5NN2/4b4/7rr/9/9/9/3R5/5p3/3AKA1nc w
3步杀2631,2R5C/3k5/6NN1/9/2n1n1b2/9/6r2/5p3/4p4/1r1c1K3 w
3步杀2632,5R3/2N1k1r2/9/4C4/2b1n4/4r4/5N3/2p6/1nc1p4/3K1p3 w
3步杀2633,r1N1ka3/8C/4n1N2/9/3R5/9/6n2/2pp5/4p4/r1cK5 w
3步杀2634,1r7/2Nc3rC/4knR2/2p2Np2/n1b3b2/9/9/9/4p1p2/5K3 w
3步杀2635,2ba2r2/3kn4/4b4/5R3/5n1r1/1N2NC3/4c4/4B4/2c1A4/2BAK4 w
3步杀2636,2r2ab2/4nk3/4b4/3R5/1r1n5/3CN2N1/4c4/4B4/4A1c2/4KAB2 w
3步杀2637,9/1R1N1k2C/n3nN3/7rr/9/5c3/9/3pp4/4c4/3K5 w
3步杀2638,5kr2/3R5/5N2b/1n3r3/4N4/5Cn2/9/2c6/4p1p2/2c2K3 w
3步杀2639,C1c1R1b2/5k1r1/2Nr4N/2n6/2n6/9/9/9/4pcp2/5K3 w
3步杀2640,1c4N2/5R3/1c1kNn2C/4p4/2b3b2/r1n4r1/9/3p5/4p4/3K5 w
3步杀2641,2bRr2c1/2N1kn1NC/9/2r5c/2b1p4/1n7/9/9/3p1p3/4K4 w
3步杀2642,2r2k3/9/7R1/2pNN1p2/1nb6/9/9/2ncc1p2/2p2C3/3K1p1r1 w
3步杀2643,5k1rr/2N1a4/6R2/n3n4/9/3N5/2p2C3/7p1/2p1p1pc1/3K2c2 w
3步杀2644,2n2k3/3R2N2/4b4/5np2/2b6/4pN3/9/3p1C3/2cpp2r1/1r2cK3 w
3步杀2671,Crb1kcn2/2R6/3a1aN2/9/3N5/9/9/4C4/4pp3/2BK5 w
3步杀2672,6N2/3ka4/5a3/3C5/9/3R5/9/9/1c3r1N1/C3KAn1c w
3步杀2673,2N2kn2/4a1N2/5c3/9/2b6/1rn1C4/3C5/3c1R3/2p1p4/3K5 w
3步杀2674,3a1kc2/4a4/b2N5/9/2bN1C3/2p1rR2r/4p4/3K5/4p4/2C6 w
3步杀2675,5kbc1/9/2N2N1n1/9/5cb2/4R1C2/9/4r4/1r2p1p2/2C2K3 w
3步杀2676,1r1k1N3/4R4/2n5C/2N3p2/2C3b2/9/9/9/3p1p3/3cKc1r1 w
3步杀2677,1r7/2N1k4/5N2b/2pRn4/4cr3/2n1C4/4cC3/9/4p1p2/5K3 w
3步杀2863,3NkabC1/3Ra4/4b4/5R3/9/9/9/9/3pp1r2/5K3 w
3步杀2864,2b1k1C2/2R1a4/4bcN2/3R5/9/9/9/3p5/1r1p1p3/4K4 w
3步杀2865,2b1k1C2/2R1a4/4baN2/3R5/9/9/9/3A2n2/5p3/4KA1rc w
3步杀2866,C1bak4/4a4/4b4/1R1R5/4N4/9/7r1/6n2/3p1p3/4K3c w
3步杀2867,R2akab2/9/4bc3/9/9/1RN6/9/3C2n2/3p1p1r1/4KA3 w
3步杀2868,2bakab2/7R1/9/N8/3R5/9/3C5/4p2n1/3p1pr2/4K3c w
3步杀2869,3akabNC/9/4b4/9/R4R3/9/8n/5An2/1r1p5/4K4 w
3步杀2870,3k1ab2/4R4/4b3n/4C4/4N4/9/9/2n2A3/5p3/1r1AK2R1 w
3步杀2871,2b6/RN1ka4/r2ab4/9/9/3RC4/7n1/9/2npA4/2p1KA3 w
3步杀2872,3c2N1R/R8/b2k1cn1C/6p2/1n5r1/9/9/9/3p1p3/4K4 w
3步杀2873,4k4/3Ra4/1N2b4/9/C8/9/4R4/8r/3p2r2/4K4 w
3步杀2874,4kab2/4aR3/4bN1r1/1CR6/9/9/3r5/9/3p1p3/4K4 w
3步杀2875,2bak4/4a1R2/c1N1b4/9/9/9/9/1C7/5r1r1/3RK4 w
3步杀2876,2b3R2/4ak3/3abrN2/9/9/9/4C4/4B4/4A4/2BAK1Rrc w
3步杀2877,c2ak1b2/4a4/4b4/9/3RN4/8r/3R5/4CA3/4AK1p1/6r2 w
3步杀2878,6b2/5k3/5cR1b/6N2/9/9/9/4C1p2/3rRpr2/4K4 w
3步杀2879,3k1a3/2N1a4/3c5/4R4/4pR3/9/2p6/C3B4/4r2r1/2B2K3 w
3步杀2880,2bcka1c1/4a4/4b4/1N1RC4/9/6R2/7r1/9/4Ap3/2B1KAr2 w
3步杀2881,5R3/2Nk5/5R3/2p6/2Ccp4/3c5/9/9/2rp1pr2/4K4 w
3步杀2882,r3kab1C/4a1R2/4b4/9/5N3/9/5R3/9/2r1A1n2/3K1AB2 w
3步杀2883,2b1ka1RC/4a4/4b2N1/9/9/9/2r1r4/2nA3R1/4A4/c3K4 w
3步杀2884,1cbak4/3R1n2R/2N1C4/9/9/9/9/9/3p1r1r1/4K4 w
3步杀2885,2r1k2c1/3Ra4/4Nan2/4C4/3R2b2/6B2/2r6/4B4/4Ap3/4KA3 w
3步杀2886,2r2R3/4k4/b4N1rb/9/6n2/5C3/9/5pc2/4p4/5K1R1 w
3步杀2887,4ka1n1/3Ra4/3nb4/7N1/9/6C2/9/9/2r2p2r/3RK4 w
3步杀2888,4ka2R/1R1na4/2rcb1n2/7NC/2b6/9/6r2/4B4/4Ap3/4K1B2 w
3步杀2889,6b2/5RN2/1r1k4b/3n5/4R4/6n2/9/7C1/2p1p4/3K1c2r w
3步杀2890,2n2k2r/8R/4bN2b/2n2R3/9/6r2/9/3p2c1C/2p1p4/3K5 w
3步杀2891,9/3k5/bn3RNn1/9/5rpc1/4R4/4r4/5p3/6p2/3pCK3 w
3步杀2892,2bRR1crn/5k3/5n3/5N3/2b5C/9/9/5p3/4p4/1r1c1K3 w
3步杀2893,c1b1RN3/3k1n3/1R6C/1n7/2b6/2r6/9/5p3/4p4/2rc1K3 w
3步杀2894,4R2c1/3k5/3N4n/1n7/r1b3bc1/1R3p3/5C3/3p5/4p1r2/3K5 w
3步杀2895,1c1R4r/4k4/5R1C1/2pcNnp2/6n2/9/5r3/5p3/4p4/5K3 w
3步杀2911,2bk1a3/R1n5C/1n1a5/p1N6/6b2/9/9/4R3C/2pp1p3/1c2KAB2 w
3步杀2912,3N1a3/3k5/4R4/1n7/7R1/6B2/9/4B4/6rn1/C2ACK2c w
3步杀2913,2ba1k3/C3a3R/4bN3/9/6p2/1C2c4/9/4B4/1r2A1c2/3RKAr2 w
3步杀2914,3a1kC2/3Ra1R2/5N3/9/5r3/8r/9/5C3/2n1p4/5K3 w
3步杀2915,1n1k1a3/R8/b2ab4/2R2N3/9/6C2/9/4C4/3pAr2r/4K4 w
3步杀2916,1N1akcb2/4a2R1/4c2Cb/4C4/3R5/9/9/2nABp3/1r1rA4/2B1K4 w
3步杀2917,2ba1a1nC/3k2NR1/2c6/4R4/6C2/9/9/3p5/7r1/3K1prc1 w
3步杀2918,2bk1a3/1R2RN3/b3na3/2n6/9/1C1p5/4c4/4B4/3rAp1r1/1C2KA3 w
3步杀2938,4k1C1R/4an3/5a3/6pN1/9/1N7/9/9/1c2p1p2/3p1K2R w
3步杀2939,5a2R/5nC2/4ka3/6pN1/4N4/9/9/9/1c2p1p2/3p1K2R w
3步杀2940,3c5/2R6/3k4C/4cN3/9/2rN3n1/9/9/3p1p3/4K3R w
3步杀2941,1R3r3/3ka2N1/1R5C1/1Np6/2b6/5c3/5c3/3p1n3/9/3K1p3 w
3步杀2942,2N1R3c/1C1ka3r/9/1N2n1R2/9/3n5/9/3p5/4p4/3K5 w
3步杀2943,5N3/1N2k2C1/1n2ba3/3cR1p2/9/9/1r7/9/2p1p4/3K1Rr2 w
3步杀2944,3k2rR1/7N1/2c5b/3NR4/2b1n4/9/9/6cC1/2r1p4/3K5 w
3步杀2945,9/5k2r/2c2N2b/2N5n/4R4/4R4/4r4/3C5/2p1pp3/2cK5 w
3步杀2946,1Nn4n1/3ka4/9/1R4N2/2C6/9/9/4Rp1r1/6p2/r3cK3 w
3步杀2947,3n2Rn1/4R4/5k3/5N3/2rN2cr1/1C7/9/5p3/4p1p2/5K3 w
3步杀2948,1r1a2R2/2Rn5/3k2N1b/n5p2/N1C6/9/9/9/3p1p3/3cKc1r1 w
3步杀2949,n2r3n1/3kcN2C/4R3b/3c3R1/9/4N4/3r4C/4Bp3/4p1p2/5K3 w
3步杀2950,r3R4/1C1n2r2/C2k1a2b/3N5/1N4b2/3n5/9/3p3R1/2p1p4/3Kcpc2 w
4步杀3550,3k1ab2/2N4R1/4b4/9/9/9/9/3C1p3/4p1p2/5K3 w
4步杀3551,2bak4/4a4/9/8N/9/9/5R2C/9/3p1p3/2p1K1p2 w
4步杀3552,3k2b2/9/b2a5/2N6/9/4R4/9/9/c3p1p1C/3p1K3 w
4步杀3553,c1ba5/4k1N2/3abR3/9/9/9/9/5C3/2p1p4/1p1K5 w
4步杀3554,2bk1acc1/2N4R1/4b4/9/3C5/9/9/9/1p1pp1p2/5K3 w
4步杀3555,4R4/9/3a1k3/4N4/9/9/9/5n3/4p4/1pCK5 w
4步杀3556,2b2k3/9/3a1a3/3NR1C2/9/9/9/9/3p1p1n1/4KA3 w
4步杀3557,5a3/3kaN3/4b3C/6R2/6b2/9/8p/2pA4B/5p3/3K1ABnc w
4步杀3558,3R5/4k4/9/9/3npN3/9/9/3n5/4p4/5KCp1 w
4步杀3559,3R5/4k4/9/9/3npN3/9/9/3np4/9/5KCp1 w
4步杀3560,1C2kab2/4a4/1N2b4/9/9/9/9/4B2R1/4p1r2/5K3 w
4步杀3561,2bak2C1/4a4/4b2N1/9/9/9/9/1R2B4/2r1p4/3K5 w
4步杀3562,5R3/7C1/2N1k4/9/9/9/9/r2p5/4p4/3K5 w
4步杀3563,9/5R3/3k2C2/9/3N5/9/9/5p3/4p2r1/5K3 w
4步杀3564,9/5RC2/3k5/9/9/9/3N5/3p5/2r1p4/3K5 w
4步杀3565,3a1k3/1C7/5N2R/9/9/9/r8/3p5/4p4/3K5 w
4步杀3566,4R4/9/5k3/5CN2/2b6/9/9/5p3/4p2r1/5K3 w
4步杀3567,1C1a5/4k4/3a5/4N4/9/5R3/7r1/5p3/4p4/5K3 w
4步杀3568,3k5/6R1C/3N4b/9/6b2/9/9/9/2r1p1p2/5K3 w
4步杀3569,2b1kab2/9/3a5/4C4/5N3/7R1/9/3p5/2r1p4/3K5 w
4步杀3570,2baka3/3R5/2rNb4/9/4p4/1C7/9/9/4p4/5K3 w
4步杀3571,3akab2/5R3/4bNr2/9/4p4/7C1/9/9/4p4/3K5 w
4步杀3572,3k3C1/6R2/3abaN2/9/6b2/9/9/9/2rp1p3/4K4 w
4步杀3573,3k5/4a4/4b4/4N4/9/4p4/1R1C2r2/4B4/5p3/3AK4 w
4步杀3574,5a1C1/3ka4/4b4/1R5N1/2b6/9/9/5p3/2r1p4/5K3 w
4步杀3575,5k3/4a4/4b4/4N4/9/4p4/2r2C1R1/4B4/3p5/4KA3 w
4步杀3576,1R7/3k5/7N1/9/9/9/2pCp4/3K1p3/4r4/9 w
4步杀3577,2bR1ab2/5r3/4k4/3N5/9/8C/9/9/2p1p4/3K1p3 w
4步杀3578,2b1k3C/4aR3/4ba1N1/9/9/9/9/3p5/2r1p4/3K1p3 w
4步杀3579,3a1kb2/1R4N2/3ab4/9/9/5C3/3r5/3pp4/4p4/3K5 w
4步杀3580,3k1a3/4a4/8c/5N3/9/5R3/9/C8/1r1p5/4KA3 w
4步杀3581,2bak4/4a4/r3b3c/1C5N1/9/9/9/3R5/4p4/3K5 w
4步杀3582,4kab2/4a4/c3b3r/1N5C1/9/9/9/5R3/4p4/5K3 w
4步杀3583,4R4/4a4/4kaN2/9/9/9/9/8C/3rA4/c1pAK4 w
4步杀3584,2b2a2R/3N1k3/b8/9/9/9/9/1C7/3pA4/4KArc1 w
4步杀3585,3k2b2/9/b2a5/2N6/9/4R4/9/8C/4A1p2/cr1A1K3 w
4步杀3586,2b1k4/4aR3/c2ab4/1N7/9/9/9/4B4/2p1r4/1C1K2B2 w
4步杀3587,3k5/2N1c4/4R4/9/3C5/9/9/9/4p1pr1/5K3 w
4步杀3588,5kc2/1N4C2/9/4R4/9/9/9/3p5/r3p4/3K5 w
4步杀3589,9/1C2k4/3c2R2/3N5/9/9/3r5/3p5/4p4/3K5 w
4步杀3590,1cN1k1b2/9/9/3R5/3C5/9/7r1/5p3/4p4/5K3 w
4步杀3591,3cN4/3k3C1/9/9/6b2/9/r8/9/3p1p3/4K1R2 w
4步杀3592,3R1a3/4k4/9/2N1C4/9/2c6/1r7/3p5/4p4/3K5 w
4步杀3593,3a2b2/5k1C1/4ba2c/7N1/9/2R6/9/9/3rp1p2/5K3 w
4步杀3594,3a2bC1/5kN2/4ba2c/2R6/9/9/9/9/3rp1p2/5K3 w
4步杀3595,2baka1NC/6R2/4c4/9/9/9/9/4B2r1/4pp3/2BK5 w
4步杀3596,CRbk2b2/9/3a5/9/2N6/9/9/9/2p1p1pr1/2c2K3 w
4步杀3597,2ba5/2N1ak2c/4b4/5C3/9/5R3/9/3p5/r1p1p4/3K5 w
4步杀3598,2b2a2R/3N1k3/cC7/9/9/9/9/9/4A4/4KArc1 w
4步杀3599,2b2a2R/3N1k3/cC7/9/9/9/9/9/3pA4/4KArc1 w
4步杀3600,2bc1kb2/4R4/9/2N6/1C7/9/9/8B/5pr2/2BAK2c1 w
4步杀3601,2ba1k3/1R4N2/4b4/9/5C3/9/9/4B4/2r1Ap3/3K1ABcc w
4步杀3602,7c1/2N3R2/3k5/C8/9/r2c5/9/9/4p1p2/5K3 w
4步杀3603,9/C3k4/9/p1N2R3/7c1/9/9/4p4/5p3/rc2K4 w
4步杀3604,5k2C/4a4/9/8N/9/1R7/9/3p1n3/r8/3K1A3 w
4步杀3605,2b1ka3/9/5a3/9/5N3/1R7/9/4C4/4p1rn1/5K3 w
4步杀3606,9/2rk5/1R1ab4/3N5/2b6/1C7/9/3p1n3/9/3K5 w
4步杀3607,9/r2k5/1R1ab4/3N5/2b6/1C7/9/3n1p3/9/5K3 w
4步杀3608,2b1k4/4aR3/r2ab4/1N7/9/9/4n4/1C7/4p4/3K5 w
4步杀3609,2b1ka1R1/3N5/r8/9/1C7/9/9/2n6/4Ap3/4KA3 w
4步杀3610,2bak4/4a4/9/8N/9/9/5R2C/2nA5/3r1p3/2B1K4 w
4步杀3611,9/r2k5/1R1ab4/3N5/2b6/1C7/5p3/3AB4/2n1A4/2B2K3 w
4步杀3612,3R1C1r1/9/2N1k4/9/9/9/9/5n3/2p1p4/3K5 w
4步杀3613,1N2ka1RC/4n4/9/9/9/9/9/1r1p5/4p4/3K5 w
4步杀3614,3a1k3/1C7/5N2R/9/n8/9/9/3p5/r3p4/3K5 w
4步杀3615,9/5R3/b1Ck5/2N6/9/7n1/9/5p1r1/4p4/5K3 w
4步杀3616,9/5R3/b1Ck5/2N6/9/7n1/9/5p3/4p2r1/5K3 w
