10步杀8032,5k3/4a4/8N/9/5r2n/9/6R2/9/4p4/3K2R2 w
3步杀2577,n3N4/4k4/5R3/4pNp2/9/9/6r2/4r4/4p4/3K5 w
3步杀2578,2r6/2R2N3/4k4/2pN2p2/1nb6/9/9/2nc5/2p2p3/3K1p1r1 w
3步杀2579,9/4k4/2na1RN2/9/6N2/1rccp2r1/4p4/4p4/4n4/4K4 w
3步杀2800,1R1ak1b2/3Ra4/4b4/4N4/9/9/7r1/9/4p4/5K3 w
3步杀2801,2b1ka1R1/4aR3/4b4/4N4/9/9/1r7/9/4p4/3K5 w
3步杀2802,4ka1r1/4aR1R1/9/3N5/9/9/9/9/4p1p2/5K3 w
3步杀2803,2bR5/4a1R2/4Nk2b/9/9/9/9/9/3p1r3/2p1K4 w
3步杀2804,4ka2r/1N2a4/4b4/9/9/7R1/9/9/4p1p2/3R1K3 w
3步杀2805,3ak1b2/4a2N1/4b4/9/9/2R6/9/3p5/1r2p4/3K1R3 w
3步杀2806,2ba1k3/4R4/4b4/5N3/9/2R6/9/4p4/3p1p2r/4K4 w
3步杀2807,2bak1bR1/4a4/9/2NR5/9/9/9/4p4/2rp1p3/4K4 w
3步杀2808,2bak4/3RarN2/4b4/9/9/9/8R/3p5/2p1p4/3K5 w
3步杀2809,3ak4/4a2N1/4c4/9/9/1R7/9/9/2p1r4/3K1R3 w
3步杀2810,3ck4/1R1Ra4/4Na3/9/9/9/9/9/4p2r1/5K3 w
3步杀2811,4ka3/1N2a4/4c4/9/9/7R1/9/9/4r1p2/3R1K3 w
3步杀2812,4kc3/4aR1R1/3aN4/9/9/9/9/9/1r2p4/3K5 w
3步杀2813,5ab2/8R/3a1k3/4RcN2/2b6/9/9/4B4/3p1r3/4K4 w
3步杀2814,2b6/4k4/c3b1c2/4N1R2/9/5R3/9/9/1r2p4/5K3 w
3步杀2815,2b1kab2/1R2a4/9/5R3/4N4/9/9/3np4/7r1/5K3 w
3步杀2816,3ak4/2R6/b1N2a3/9/3R5/9/9/3A5/1nr1p4/3K5 w
3步杀2817,2b1k4/3Ra4/5a3/9/5N3/9/9/4B3R/2r1pn3/2BK5 w
3步杀2818,4ka1r1/4aR1R1/9/3N5/9/9/9/3n5/4p1p2/5K3 w
3步杀2819,2bak4/3Ra4/2rNb4/9/3n5/6R2/9/3p5/4p4/3K5 w
3步杀2820,2bak4/4a4/n3b4/1N3R3/9/5R3/9/3p5/1r2p4/3K5 w
3步杀2821,2b1ka3/3Ra4/4b4/3R3N1/9/9/9/7n1/5pr2/4K3c w
3步杀2822,5a3/3ka4/4b2n1/R3R1N2/9/9/5p1r1/9/4AK3/1c1A5 w
3步杀2823,2b1ka3/4a2N1/4b4/1R2p4/9/9/4c2n1/4B4/4A3r/2BAKR3 w
3步杀2824,2b3R2/4ak3/b4aN2/9/5n3/9/2r6/9/3p1pc2/4K1R2 w
3步杀2825,2baknb2/4a4/9/2N6/9/4R4/9/3R1An2/3p1r3/4K3c w
3步杀2826,3ak1b2/4aR1N1/4b4/9/9/9/9/9/1r1r5/4K2R1 w
3步杀2827,3r1kb2/1RN4R1/5a3/9/r8/9/9/4B4/9/2B2K3 w
3步杀2828,4k4/2Nra4/5a3/2R4R1/9/9/9/9/3rp4/5K3 w
3步杀2829,2r3b2/3kaR1NR/3a4b/9/9/9/9/9/r3p4/3K5 w
3步杀2830,3ak1b2/4a4/4b4/5N3/9/5Rr2/9/5R3/2p1r4/3K5 w
3步杀2831,5R3/4krN2/3a1r3/1R7/9/9/9/9/2p1p4/3K5 w
3步杀2832,3ak1b2/4aRN2/4b1r2/9/9/2R6/9/3p5/1r2p4/3K5 w
3步杀2833,2b1kaR2/4a4/9/4R2N1/9/9/9/4B4/3rA4/2B1KA1rc w
3步杀2834,2b1kaR2/4a4/9/4R4/6N2/9/9/4B4/3rA4/2B1KA1rc w
3步杀2835,3k2b2/1Nr1R1R2/4b3c/9/9/9/9/9/3p1r3/4K4 w
3步杀2836,3a2R2/4ak3/5rN2/9/9/9/9/9/3p1p3/4K1Rrc w
3步杀2837,2b1kab2/2r1aR3/c1r1RN3/9/9/9/9/4p4/3p1p3/4K4 w
3步杀2838,3ak1b2/4a4/n3b4/1N7/9/9/9/3R3R1/2r1r4/3K5 w
3步杀2839,4kab1r/4aR3/4b4/1RN6/9/9/5n3/3A5/2r6/4K4 w
3步杀2840,1R1ak1b2/4aR3/4b4/4N4/9/9/8r/4B1r2/4AK1n1/2BA5 w
3步杀2841,3ak1b2/R2R5/8b/9/1N7/9/7r1/4n4/r3p4/3A1K3 w
3步杀2842,R2ak1b2/4a2r1/8b/9/2N6/4R4/9/2n6/3p1r3/4K4 w
3步杀2843,2b1ka3/4a2N1/4b4/2R6/1r7/3p5/3r5/4B4/1n2A4/2BAKR3 w
3步杀2844,2bak4/3RarN2/2c1b4/8R/9/9/1n2r4/9/4A4/2BAK4 w
3步杀2845,2b1ka3/4a2N1/4b4/1R2p4/9/r8/4c2n1/4B4/4A3r/2BAKR3 w
3步杀2846,5R3/9/4k4/4N4/4r4/9/4R4/5p3/4p1cnr/5K3 w
3步杀2847,2b1k1r2/2NR5/4b4/7R1/6r2/9/9/2p6/1nc1p4/3K5 w
3步杀2848,2b5R/1n1k5/9/1n1N2p2/2rc1R3/6r2/9/5p3/4p4/5K2c w
3步杀2849,4k2c1/7N1/9/1rp6/c1b3br1/3R1R3/2p1n4/1p1K3n1/9/9 w
3步杀2850,2b5R/2NR5/4k4/2p3n2/1n3rb2/3c5/3c5/5p3/2r1p1p2/5K3 w
3步杀2926,2b1k1b2/1N1Ra4/5a3/6N2/9/9/9/4BK1R1/3pr1p2/6B2 w
3步杀2927,9/6R2/3kb4/4N1N2/9/9/9/3n5/4p4/r1c2KR2 w
3步杀2928,1c2R4/2NRak3/1N7/2p2c3/2bnp4/9/9/9/2rp5/4K1p2 w
3步杀2929,1rbak3r/1N1Ra4/cR2b1N2/9/9/9/9/9/5p3/4K4 w
3步杀2930,1rbak4/1N1Ra4/cR2b1N2/9/9/9/9/4B4/4Ap1r1/2BAK4 w
3步杀2931,1rbak3r/1N1Ra4/cR2b1N2/9/9/9/9/4B1n2/3p1p3/2B1K4 w
3步杀2932,2bak4/3RaR1N1/2Ncbc3/9/9/9/9/4p1n2/4A4/3K1Arr1 w
4步杀3434,2bakn3/8R/4b4/6cN1/2n6/9/9/4B4/4p4/3K2B2 w
4步杀3435,3nkab2/R8/4b4/1Nc6/6n2/9/9/4B4/4p4/2B2K3 w
4步杀3436,2bakn3/8R/4b4/6cN1/2n6/9/9/4B4/2p1p4/3K2B2 w
4步杀3437,5a3/1RNra4/b3k3b/9/9/9/9/9/9/5K3 w
4步杀3438,2b6/3k5/4RN3/9/9/9/9/2pA5/3KA4/2r6 w
4步杀3439,8R/3k5/3aN4/9/9/9/1r7/3p5/4p4/3K5 w
4步杀3440,2ba5/4ak3/6RN1/9/9/9/9/4p4/3r1p3/4K4 w
4步杀3441,2b6/4a4/1N2k4/9/3R5/9/9/3p5/r3p4/3K1p3 w
4步杀3442,2ba3R1/4a4/4bk3/9/8N/9/2p6/3pB4/4rp3/2BK5 w
4步杀3443,2ba1R3/3k5/9/9/4N4/9/p2p5/r1p1B4/1p4p2/2BK5 w
4步杀3444,3a2b1c/1R5N1/4ka3/9/9/6B2/9/4B4/3p2r2/4KA3 w
4步杀3445,4c4/5k3/4N4/9/9/9/9/3p5/2r1p2R1/3K5 w
4步杀3446,6b2/1R2a4/4k4/9/8N/9/9/4B4/1r1pp4/c4K3 w
4步杀3447,R8/3k5/4N4/2p1c4/9/9/9/9/4p1p2/5Kcr1 w
4步杀3448,3k5/4a1R2/4N4/9/9/9/9/1r5n1/4p4/5K3 w
4步杀3449,3k5/4a4/3a5/N8/9/7R1/9/2n6/3r1p3/4K4 w
4步杀3450,R2a5/5k1N1/9/9/9/9/9/4B1n2/3p1r3/2B1K4 w
4步杀3451,2b6/4a2N1/4k4/9/9/9/9/2R1B1n2/3p3r1/3AK4 w
4步杀3452,5a3/4k4/3N5/1R2p4/9/9/9/6n2/6r1c/3AKA3 w
4步杀3453,9/3Nak3/9/9/9/4R4/9/6rr1/4A1p2/4KA3 w
4步杀3454,5a1c1/9/2N1k4/9/9/3R5/1r7/9/r3p4/3K5 w
4步杀3455,2R6/2cka4/2Na1c3/9/9/9/9/9/3r2r2/4K4 w
4步杀3456,r2k3r1/4a4/3N5/3R5/9/9/6c2/9/7n1/4K1B2 w
4步杀3990,2ba1a2N/4k4/4b3N/9/4n1n2/9/9/3K1p3/3cp4/7R1 w
4步杀3991,3a1a3/2c1k1c2/3Rb4/4Nn3/3N2p2/9/9/5p3/4p1p2/3p1K1n1 w
4步杀3992,3a1k3/1N2a4/9/6N2/4R4/9/9/9/3p1r3/4K4 w
4步杀3993,r3ka3/4aR1N1/9/9/4N1b2/9/9/9/3p5/4K4 w
4步杀3994,3k1a3/1R5N1/3Nba3/9/5r3/9/9/9/4p4/3K2B2 w
4步杀3995,2Nk1ab2/2N6/4bR3/9/9/9/9/7r1/3p5/4K1p2 w
4步杀3996,r3ka3/4aR1N1/9/9/4N1b2/9/9/9/3p1p3/4K1B2 w
4步杀3997,4R4/5k3/5N3/2p2N3/9/9/9/3p5/2r1p4/3K5 w
4步杀3998,2b4R1/4a4/4k4/N8/4N4/9/9/4Bp3/3r5/c4K3 w
4步杀3999,3k1a3/4aN1N1/1R1cb4/9/6b2/9/9/9/3r1p3/4K4 w
4步杀4000,9/4k4/2NNb4/5cR2/9/9/9/1r1p5/4p4/3K5 w
4步杀4001,3a1a3/3k2N2/4R4/4N4/3c5/9/3r5/3p5/4p4/3K5 w
4步杀4002,3k1a3/2R6/b2a4b/7N1/9/3N5/3p5/9/3r1p3/3AKABc1 w
4步杀4003,3ak4/3Ra2N1/9/5N3/9/9/9/B1c6/1r2A4/c2K1A3 w
4步杀4004,1Nb1k4/1cR1a4/b8/7N1/9/c1B6/1r7/9/4p1p2/5K3 w
4步杀4005,3a5/1N2a4/5k3/8N/9/9/4R4/9/3p1rn2/4K4 w
4步杀4006,1N7/4a4/2Ra1k3/6N2/9/9/9/5rn2/3p5/3AK1B2 w
4步杀4007,3R5/2N1k4/5a1N1/9/2b6/9/9/4B1n2/r2p5/4K1B2 w
4步杀4008,4kab2/5R3/3ab4/1N1N5/9/9/9/2n6/5p1r1/4K4 w
4步杀4009,r3ka3/4aR1N1/9/9/4N1b2/9/9/2n2A3/5p3/4K4 w
4步杀4010,3ak4/8R/4N2r1/1n2p1N2/9/9/9/4B4/3p5/4K4 w
4步杀4011,2ba1a2N/4k4/4b3N/9/9/9/9/1n3p3/2r1p4/3K3R1 w
4步杀4012,3R5/5k3/4b4/8N/1N7/9/9/4BA2n/5K2c/2BA3r1 w
4步杀4013,3a1k3/1N2a4/9/6N2/4R4/9/9/B6n1/3p1r3/2B1K3c w
4步杀4014,2ba2b2/9/3N1k3/9/7N1/4R4/7r1/9/1n1KAp2c/5A3 w
4步杀4015,9/2c1k4/3R5/4N4/3N5/9/6nr1/5p3/4p4/5K3 w
4步杀4016,5a3/8R/3ckNN2/9/2p6/9/9/3rB4/4pn3/5K3 w
4步杀4017,1N3k2n/8R/9/4cN2c/9/9/9/5p3/4p3r/5K3 w
4步杀4018,8n/3Nc3R/5k3/5N2c/9/9/9/5p3/4p3r/5K3 w
4步杀4019,3k1ab2/1NN6/8n/4p4/9/9/5R3/5nr2/4p4/5K3 w
4步杀4020,3a1a3/5R3/2NNk4/9/4r4/9/2n3pc1/4B4/4K1n2/2B4c1 w
4步杀4021,2NN3R1/4k4/3n5/4p3c/9/4n4/9/4c1r2/2p1pp3/3K5 w
4步杀4022,2b6/4k1N2/9/4NR3/9/3r5/9/3p5/r3p4/3K5 w
4步杀4023,4ka3/3N5/c1N6/6R2/2b6/9/9/4B4/1r2r4/3K2B2 w
4步杀4024,3k5/4R1N2/4N4/9/4r4/9/9/3c5/2r1p4/3K1p3 w
4步杀4025,5kr2/2N6/5a3/2NR5/6r2/9/9/3n5/4p4/5K3 w
4步杀4026,n3N4/5k3/2R6/4pNp2/9/9/6r2/4r4/4p4/3K5 w
4步杀4027,2ba1k3/9/4b4/8N/2n6/3Rc2N1/r8/3AB4/3KA4/2r6 w
4步杀4278,2b1ka3/4aR1N1/4b4/9/9/9/9/4p4/5p1r1/R3K4 w
4步杀4279,2bak4/4a4/4b4/9/1N7/5R3/5R3/3p5/1r2p4/5K3 w
4步杀4280,3akab2/9/4b4/1R1R5/3N5/9/9/3p5/4pr3/3K5 w
4步杀4281,3akab2/1R7/4b4/4R4/4N4/9/6r2/3pB4/5p3/4K4 w
4步杀4282,2bak4/4a4/4b4/2NR3R1/9/9/9/4p4/2rp1p3/4K4 w
4步杀4283,2bak4/4aR3/4b4/5N3/9/2R6/9/4p4/3p1p2r/4K4 w
4步杀4284,2bakr3/3Ra4/4b4/7N1/9/9/8R/3p5/2p1p4/3K5 w
4步杀4285,2baka3/1R7/4b4/4R4/4N4/9/9/4B4/5pr2/4K2c1 w
4步杀4286,3ak4/4a3R/3c5/9/5N3/2B6/9/2r1B4/2p1A4/3AK2R1 w
4步杀4287,2bakaR2/9/9/8N/7R1/9/9/2nAB4/1r3p3/4K1B2 w
4步杀4288,2b1ka3/4a4/4b3n/9/4N4/2R3R2/9/9/1r1p1p3/4K4 w
4步杀4289,2b6/4k4/n3b1c2/N5R1R/9/9/9/9/2p1r4/3K5 w
4步杀4290,R4a3/3ka4/N1R1b4/3r5/9/9/9/4B2n1/4p4/5K2c w
4步杀4291,2bak4/4a4/4b4/2N6/9/8c/9/4Bn3/4r1p2/2BR1K1R1 w
4步杀4292,2b1kab2/4a2NR/c8/9/4R4/9/9/1rn6/3p1p3/4K4 w
4步杀4293,2b2k3/4a1R2/b4aN2/9/5n3/9/2r6/9/3p1pc2/4K1R2 w
4步杀4294,2baka3/1R7/4b4/4R4/4N4/9/9/6nr1/3p1p3/4K3c w
4步杀4295,4k4/R3a4/4ba3/1N7/2b4R1/9/5p1n1/4BA1p1/2p1AK1c1/2B5r w
4步杀4296,4ka3/4a4/1R7/4NR3/9/9/9/6c1n/4A2r1/3AK3c w
4步杀4297,3akab2/2R3n2/4b4/4R4/4N4/4c4/9/4B4/4Apr2/c1BAK4 w
4步杀4298,3a1a3/3k5/1n2RN2c/9/9/2n6/9/8R/3r1p3/4Kc3 w
4步杀4299,3rk1b2/1R5R1/5a3/1N7/r8/9/9/4B4/9/2B2K3 w
4步杀4300,4kab2/4a4/2r1b4/7N1/9/5R3/9/5R3/4r4/5K3 w
4步杀4301,3k5/4a4/r2a5/9/4N2r1/1R2R4/9/9/5p3/2B1K4 w
4步杀4302,5k3/4a4/5a2r/9/1r2N4/4R2R1/9/9/3p5/4K1B2 w
4步杀4303,1r1aka3/9/4b4/2N6/9/5R1R1/9/4B4/1r2p4/3K5 w
4步杀4304,3aka1r1/9/4b4/6N2/9/1R1R5/9/4B4/4p2r1/5K3 w
4步杀4305,2brka3/9/9/2R2R2N/9/9/9/3AB4/1r2p4/3K2B2 w
4步杀4306,3akrb2/9/9/N2R2R2/9/9/9/4BA3/4p2r1/2B2K3 w
4步杀4307,2bR5/4a2R1/b3Nk3/9/9/9/9/5r3/3p1pr2/4K4 w
4步杀4308,3a1k3/4a1R2/5rNr1/9/6R2/9/9/9/3p1p3/3AK4 w
4步杀4309,2baka3/1R7/4b4/4R4/4N4/9/9/4BA3/5rr2/4K2c1 w
4步杀4310,4ka3/1N1ca4/4b4/3R5/6b2/9/4p4/4B4/4Arr2/R2AK1B2 w
4步杀4311,3a1k3/4a1R2/5rN2/9/9/9/9/9/3p1p3/4K1Rrc w
4步杀4312,4k1b2/4nR3/4b4/7N1/9/8R/9/4B4/1r5r1/4K4 w
4步杀4313,5k3/4a4/5a2r/9/r3N4/4R2R1/9/2n6/5p3/4K4 w
4步杀4314,2bak1b2/4aR3/9/3NR4/9/9/9/B4An2/r2r3p1/2BAK4 w
4步杀4315,3a2R2/4a1R2/5k3/6n2/2r1c1N2/9/9/3p5/8r/3K5 w
4步杀4316,3k2b2/1n2R1R2/4b3c/N8/9/9/9/9/2rp1r3/4K4 w
4步杀4317,3a1a3/5k3/3NR4/1R1r2n1c/9/9/9/9/5rp2/3AKA3 w
4步杀4318,2ra1kc2/3R3R1/5a3/6n1N/9/9/9/9/3p1p1r1/4K4 w
4步杀4319,5kb2/4R4/4Nc2b/9/8n/9/9/5p3/2rpRpr2/4K4 w
4步杀4320,3ckabn1/3Ra4/3n5/7N1/9/9/9/9/2r2p2r/1R2K4 w
4步杀4321,8R/1n1k1n3/4RN3/6p2/2rc5/6r2/9/5p3/4p4/5K2c w
4步杀4322,1R4r2/5k3/4R2nr/2p1N4/n8/9/9/5p3/c1c1p1p2/5K3 w
4步杀4455,3a1k3/2N1a1R2/3n1rN2/9/9/9/9/4B4/3pA4/4KA1Rc w
4步杀4456,3R2N2/5k3/5a3/2n1p4/3R1N3/3p5/9/4B4/2r6/3K1pBc1 w
4步杀4457,2ba1k3/2N1a4/5c1c1/5R2N/2p6/4R4/9/5A3/1n1KA4/2r3B2 w
4步杀4458,3k1ab2/4aR3/4R3c/2N4N1/9/9/9/4B1r2/1r2Ap3/2BAK4 w
4步杀4459,9/4k4/r3bR2n/4R1Nr1/8p/1N7/9/B2AB4/2p1A4/3K4c w
4步杀4460,3k5/1R2a1N2/3a1R3/4p4/2n1cN3/6B2/9/2p1p3B/4A1r1r/3K1A3 w
5步杀4797,5k3/9/2N2a3/9/9/7R1/3ppp3/5A3/4Ap3/3K5 w
5步杀4798,5k3/9/9/9/5N1R1/9/9/4B4/5pr2/4K4 w
5步杀4799,5k3/9/9/9/5N2R/9/9/4B4/5pr2/4K4 w
5步杀4800,5k3/9/9/9/5N2R/9/9/4B4/3p1pr2/4K4 w
5步杀4801,2ba2R2/4a4/5k1N1/9/9/9/9/4p4/3r1p3/4K4 w
5步杀4802,2bak4/4a4/4b4/N6R1/9/9/9/9/3pp3r/5K3 w
5步杀4803,2b6/4a4/1N1k5/9/8R/9/9/3p5/r3p4/3K1p3 w
5步杀4804,3a1k3/4a4/b3b4/5N3/9/9/9/B8/r1p1A4/c1BAK2R1 w
5步杀4805,4ck3/9/9/9/3N5/9/9/3p5/2r1p2R1/3K5 w
5步杀4806,3a1k3/c3a4/9/9/8N/9/9/9/2rp1p3/4K1R2 w
5步杀4807,3k1ab2/4a4/4c4/R8/3N5/9/9/9/3pp3r/5K3 w
5步杀4808,6b2/1R2a4/5k3/2N6/9/9/4n4/9/4r4/3K5 w
5步杀4809,3a1kbR1/4a4/4N4/9/9/9/9/5n3/2r6/3K5 w
5步杀4810,2ba5/4ak3/4b4/9/5N3/7R1/9/5n3/4r4/3K5 w
5步杀4811,2bak4/4a4/4b4/9/4N4/7R1/9/5A3/2nr5/4KA3 w
5步杀4812,R5b2/9/3N1k3/9/6b2/9/9/1r3n3/4p4/3K5 w
5步杀4813,2b2k3/4a4/9/9/5N3/7R1/9/2nA5/3p1r3/4K4 w
5步杀4814,2bak4/4a4/4b4/9/4N4/7R1/9/5A3/2nr1p3/4KA3 w
5步杀4815,4Ra3/3k5/b5N1b/9/9/3n5/3r5/B2p5/6p2/2B1KA3 w
5步杀4816,3a1k3/4a4/4c2R1/8N/9/9/9/3A2n2/r2p5/4KA3 w
5步杀4817,2b1N4/3k5/8b/9/9/4R1B2/9/4BArn1/6p1c/3AK4 w
5步杀4818,RN1k1a3/4a4/2n6/9/6n2/9/9/3pBK3/7r1/6B2 w
5步杀4819,r1N1k2r1/4a4/9/3R5/9/9/9/9/3p1p3/4K4 w
5步杀4820,5a1c1/4k4/2NR5/9/9/9/1r7/9/r3p4/3K5 w
5步杀4821,8r/4a4/5k3/4RN3/9/9/9/9/r2p1p3/4K2c1 w
5步杀4822,r1N1k2r1/4a4/9/3R5/9/9/9/9/3p1pc2/4K4 w
5步杀5269,5R3/4k4/5N3/2p2N3/9/9/9/3p5/2r1p4/3K5 w
5步杀5270,4c4/4ak3/5a3/9/1r2N2N1/5R3/9/9/3p5/3AKA3 w
5步杀5271,4k4/9/2N1b4/5cR2/4N4/9/9/1r1p5/4p4/3K5 w
5步杀5272,3a1a3/4k1N2/6R2/4N4/3c5/9/3r5/3p5/4p4/3K5 w
5步杀5273,3a1a3/4k1N2/6R2/4N4/9/3c5/3r5/3p5/4p4/3K5 w
5步杀5274,3a1a3/2N1k4/R8/4N4/5c3/9/5r3/5p3/3p5/3p1K3 w
5步杀5275,2Rak4/1N3N3/9/6c2/2c6/9/9/5p3/4p1r2/5K3 w
5步杀5276,9/9/3a1k3/9/1N5N1/4R4/1n5r1/9/3K1p3/9 w
5步杀5277,1N7/4ak3/2Ra5/9/8N/9/9/6n2/3p1r3/3AK4 w
5步杀5278,1N7/4ak3/2Ra5/9/4N4/9/9/5rn2/3p5/3AK1B2 w
5步杀5279,1N7/4ak3/2Ra5/9/4N4/9/9/5rn2/3p1p3/3AK1B2 w
5步杀5280,7N1/2nk5/9/3Nc4/9/9/9/3p1p3/2R1pr3/3K5 w
5步杀5281,9/7n1/1N2k4/3N5/9/3p1R3/9/2n1B4/r4p3/4K1B2 w
5步杀5282,3a5/4ak3/1N2b2R1/4N4/9/9/9/4B4/r1r2p3/4K4 w
5步杀5283,2b6/3k1NN2/9/5R3/9/3r5/9/3p5/r3p4/3K5 w
5步杀5284,5a3/4a4/2Rck1N2/9/2c1N4/9/9/9/rr7/3K5 w
5步杀5285,6r2/2N1k4/5a3/2NR5/6r2/9/9/3n5/4p4/5K3 w
5步杀5286,3a2b2/4k4/2NN1an2/9/9/9/2rR3r1/4B4/3pAp3/4K4 w
5步杀5564,2ba1k3/3Ra4/4N1R1b/9/9/9/9/9/3p1p3/2c1K4 w
5步杀5565,1r1ak4/1R1Ra4/9/9/5N3/9/9/9/2p1p4/3K5 w
5步杀5566,4ka1r1/4aR1R1/9/9/3N5/9/9/9/4p1p2/5K3 w
5步杀5567,2R6/3ka4/3ab1N2/7R1/4c4/8r/9/B4p3/9/2BAKA3 w
5步杀5568,2b1ka3/3Ra4/4b4/3N5/n8/7R1/9/9/4p1r2/5K3 w
5步杀5569,2b1kab2/3Ra4/9/4RN3/9/8n/9/9/3p2r2/4K4 w
5步杀5570,2bak1b2/4aR3/9/3NR4/9/n8/9/9/2r2p3/4K4 w
5步杀5571,3ak1b2/4aR3/4b4/5N3/8n/1R7/9/9/2r1p4/3K5 w
5步杀5572,2b1ka3/3Ra4/4b4/3N5/n8/7R1/9/4B4/4p1r2/2B2K2c w
5步杀5573,2ba1k3/3Ra4/4N1R1b/9/9/9/9/5A3/5p1r1/1cnAK4 w
5步杀5574,3k5/4c4/9/9/RR1N5/9/2n6/3p5/4p2r1/3K5 w
5步杀5575,3k1ab2/5R3/2n1bR3/2Nc5/9/r8/4c4/2p1B4/4A4/4KAB2 w
5步杀5576,6b2/5k2n/b2Nn1R2/1r7/6R2/9/3p1c3/4BA3/4p4/2BK5 w
5步杀5577,4k4/4arN1R/3a1r3/2R6/9/9/9/9/4p4/3K5 w
5步杀5578,4k4/4arNR1/3a1r3/1R7/9/9/9/9/4p4/3K5 w
5步杀5579,r3k4/4a4/1R2b4/5R1N1/9/9/9/9/3p2r2/4K4 w
5步杀5580,r3k4/4a4/1R2ba3/5R1N1/9/9/9/5A3/3p2r2/4K4 w
5步杀5581,2bak1b2/4aR3/9/3NR4/9/9/9/9/1r1r1p3/4KA3 w
5步杀5582,3aka1r1/9/b3b4/6N2/9/1R1R5/9/3AB4/7r1/2Bp1K3 w
5步杀5583,1rr2ab2/2RRak3/9/1N7/9/9/9/9/2p1p4/3K5 w
5步杀5584,3a3R1/4ak3/4b4/8N/6b1R/9/9/r2p5/1r2p4/3K5 w
5步杀5585,4kab2/4a4/4b4/R8/3N5/9/9/4B4/4Ar2r/1R2KAB1c w
5步杀5586,2b1ka3/3Ra4/4b4/3N5/n8/7R1/9/9/4r1r2/5K3 w
5步杀5587,3aka3/3R1R3/4b3N/9/1r7/9/4n4/3A5/4A3r/3K5 w
5步杀5588,4k4/1R7/1N2ba3/9/9/9/1p2R4/1rnA4r/3K5/9 w
5步杀5589,2ba1k3/4a4/n1r1N4/9/9/9/9/3R5/3p1r3/3AK2R1 w
5步杀5590,2bak1b2/4aR3/9/3NR4/9/9/9/6n2/r2r1p3/4K4 w
5步杀5591,2R3b2/3ka4/r1Nab4/9/3r5/9/9/2n6/5p3/4K1R2 w
5步杀5592,2b1ka3/3Ra4/4b4/3N5/n8/7R1/9/4r4/3pA3r/2B2K3 w
5步杀5593,3akn2r/4aR3/9/3N3R1/9/9/9/9/2rp1p3/4K4 w
5步杀5594,2baka3/3R1R3/4b3N/p3p3p/6p2/9/1r1n4r/9/3pA4/3AK4 w
5步杀5595,2bak4/c3a4/1N2b4/7R1/9/9/9/3RBAn2/1rr1A1p2/2BK5 w
5步杀5596,4k2c1/9/9/1rp6/c1b1N1br1/3R1R3/2p1n4/1p1K3n1/9/9 w
5步杀5758,3N5/6R2/3kb4/4N1p2/9/9/9/3n5/4p4/r1c2KR2 w
5步杀5759,3k1a3/2R1a4/b2n2R1b/7N1/9/3N5/3p5/9/3r1p3/3AKABc1 w
5步杀5760,2bak4/4a4/5c1c1/1N3R2N/2p6/4R4/9/2nA5/3KA4/2r6 w
5步杀5761,2bak4/4a4/5c1c1/1N3R2N/2p6/4R4/9/5A3/1n1KA4/2r6 w
5步杀5762,2bak4/4a4/5c1c1/1N3R2N/2p6/4R4/9/5A3/1n1KA4/2r3B2 w
5步杀5763,2baR1N2/4a4/4k4/2R1nN3/9/5n3/9/4B4/4p3r/2B2K3 w
5步杀5764,3k1a3/2R1a4/b2n2R2/7N1/9/3N5/3p5/6n2/3r1p3/3AKABc1 w
5步杀5765,5ab2/3kaR3/4R3c/7N1/N8/9/9/4B1r2/1r2Ap3/2BAK4 w
5步杀5766,3a1k3/1Nc1a1R2/5rN2/9/9/9/9/9/3p5/4K1Rrc w
5步杀5767,3a1k3/1Nc1a1R2/5rN2/9/9/9/9/9/3p1p3/4K1Rrc w
5步杀5768,2baka3/9/4b4/5R2N/2n6/3Rc2N1/r8/3AB4/3KA4/2r6 w
5步杀5769,9/5k3/r3b1R1n/4R1Nr1/9/1N7/9/3A5/2p1A4/3K4c w
5步杀5770,3k1a3/2R1a4/b2n2R1b/7N1/9/3N5/9/9/3r1p3/c1BAKA1r1 w
5步杀5771,5ab2/3kaR3/4R3c/7N1/N8/9/7n1/4B1r2/1r2Ap3/2BAK4 w
5步杀5772,5ab2/3kaR3/4R3c/7N1/N8/9/9/4B1n2/1r2Ap1r1/3AK1B2 w
5步杀5773,2baka3/9/4b4/5R2N/2n6/3Rc2N1/r8/4B4/2rpA4/4KAB2 w
5步杀5774,9/5k3/r3b1R1n/4R1Nr1/8p/1N7/9/B2AB4/2p1A4/3K4c w
5步杀5775,3k1a3/2R1a4/b2n2R1b/7N1/9/3N5/3p5/8B/3r1p3/3AKABrc w
5步杀5776,9/5k3/r3b1R1n/4R1Nr1/8p/1N7/9/B2AB4/2p1Ap3/3K4c w
5步杀5777,2bak4/4a4/5c1c1/1N3R2N/2p6/4R4/9/5A3/1n1KAr3/2r3B2 w
5步杀5778,9/6R2/4k4/4nrN2/n1R6/2N4r1/9/9/2p1pc3/3Kc4 w
6步杀6071,2bakab2/9/9/5N3/7R1/6B2/5p3/4B4/4p4/5K3 w
6步杀6072,2ba2R2/4ak3/9/c8/6N2/2B6/9/9/2p1Ac3/1n1K1AB2 w
6步杀6074,3a1k3/4a4/4b4/9/5N3/7R1/9/4B4/2r1p4/2BK5 w
6步杀6075,2ba2R2/4ak3/9/9/6N2/9/9/4p4/3r1p3/4K4 w
