1步杀353,5a3/3kaP1C1/9/7R1/9/9/2n6/5K3/4r4/9 w
4步杀3358,9/1PP1k4/9/9/9/9/9/3p1K3/1C1nc4/R3r4 w
4步杀3359,9/4k1PP1/9/9/9/9/9/3K1p3/4cn1C1/4r3R w
4步杀3360,3ak1nr1/3PaP2c/6R2/2p3p1C/2b3b2/2B6/9/4pA3/5p3/3K1AB2 w
4步杀3361,4kc1P1/1R2aP3/5a3/4r4/9/9/9/2n1C4/4p4/c4K3 w
4步杀3362,3ak4/3PaP3/4n1n2/9/9/8R/7C1/1r7/4p4/3K5 w
4步杀3363,4R4/3ka3r/4ba3/3P1P3/6b2/7p1/9/C8/4A1pr1/2B1KA3 w
4步杀3364,2CR5/2P6/4k2c1/5P3/9/9/9/4p4/1r5r1/4K4 w
4步杀3365,3akar2/2R2P3/2nPb4/6p2/2b6/9/C8/4p4/c3A1r2/2BA1K3 w
4步杀3366,2bk1a3/R1P1a4/4c4/2c1C4/9/4p4/P1r5P/4B4/4A4/4KAB2 w
4步杀3367,4k2C1/4aP3/b4aP1b/4p4/8R/9/n1P1p4/3pB4/r1p1A4/2BAK4 w
4步杀3368,5RP2/6P2/4k4/3P5/3npc3/3r2C2/3p2p2/3rnK3/9/9 w
4步杀3393,2bk3n1/c1P1aRc2/3ab4/4C4/8C/9/9/9/2p1p4/1p1K5 w
4步杀3394,5n3/3Pak3/3abc1R1/6n1C/9/4C4/9/9/4p1p2/3p1K3 w
4步杀3395,9/5k1n1/b8/4p1P2/9/8R/4C4/8C/1cnp1p3/2p1K4 w
4步杀3396,3a2b2/7P1/3ak4/2p1p4/9/9/5R1C1/9/4p1p1r/2Cp1K3 w
4步杀3397,2bk3C1/c3aPRC1/3ab4/9/9/9/9/4B4/1r3p3/2BK5 w
4步杀3398,2b2k3/4a1P2/4ba1c1/4C4/9/2CR5/4r4/9/4A4/3AK1c2 w
4步杀3399,2b2k3/4a1P2/4ba1c1/4C4/9/2CR5/4r4/6c2/3pA4/2BAK1B2 w
4步杀3400,2b2k3/4a1P2/n3ba3/6C2/9/3RC4/9/9/4r1p2/5K3 w
4步杀3401,3a3R1/3C5/3ak4/4CP3/6p2/9/9/9/4p4/5K1nr w
4步杀3402,3k1a1R1/2P6/3an3b/4p4/6b2/1C7/9/4C4/1rp1p4/3K5 w
4步杀3403,4ka3/3Pan3/R3b4/4p4/C8/6Br1/9/9/4p1p2/1C1p1K3 w
4步杀3404,2b6/4kc3/1C1a5/9/9/7R1/2P6/2n1C4/2r2p3/4K4 w
4步杀3405,2bn1k3/4a1P2/4ba3/4C4/9/C2R5/9/3AB4/5p1r1/3AK3c w
#4步杀3406,1Cbck4/4a4/4b4/4R4/9/4C4/6P2/4B4/3rAK3/1cnA5 w
4步杀3407,1R1ak1b2/5P3/4ba1c1/2C2r3/2p6/7n1/2C6/4B4/4A1p2/4KABc1 w
4步杀3408,CR1aka3/5P3/n3c4/p8/6b2/9/9/2C6/3p1p3/c1rAK4 w
4步杀3409,3akanC1/4nR3/3Pb4/9/9/9/5rp2/C7B/9/3K1A3 w
4步杀3410,C1bak1n2/4a1P1C/4b4/9/3R5/9/9/1p2B4/5pnr1/3K2B2 w
4步杀3411,3ak4/4a1P2/4bn3/4C4/8C/6R2/4n4/2rpBp3/4A4/2BAK4 w
4步杀3412,3kr1R2/2P6/5C3/9/9/4p4/5p1r1/3C1p3/4p4/5K3 w
4步杀3413,6b2/1c3k1P1/4ba2c/3rC1R2/9/6rC1/9/9/4p4/5K3 w
4步杀3414,5ab2/4k1C2/5P3/9/9/6R2/3r2C2/5K3/4r4/3n5 w
4步杀3415,2b2r3/3Pak3/3abr3/6n1C/9/4CR3/9/9/4p1p2/5K3 w
4步杀3416,3r2b2/3kaP3/3rba3/C1n6/9/3RC4/9/9/2p1p4/3K5 w
4步杀3417,r1bk3n1/c1P1aRc2/r2ab4/4C4/8C/9/9/9/4p4/3K5 w
4步杀3418,r1bk3n1/c1P1aRc2/r2ab4/4C4/9/8C/9/5p3/4p4/5K3 w
4步杀3419,CR1aka3/5P1r1/n3c3b/p8/6b2/9/9/2C6/3p1p3/c1rAK4 w
4步杀3420,2b1kab1C/4a2R1/9/3P5/9/9/9/3n1n3/3r1r3/4K3C w
4步杀3421,C3ka3/4aP1r1/nR2c3b/p8/6b2/9/9/2C1B4/3pAp3/c1nAK1Br1 w
4步杀3422,3k1a3/5C3/4PaC2/9/2b5R/2B6/2P6/2n1B4/r2pAp3/3AK4 w
4步杀3423,7R1/4ak3/3aP4/2C2C3/9/4P4/4r4/7n1/1pp1p4/3K5 w
4步杀3424,9/3k5/r2a1R3/C3n3p/PC4p2/3p5/4c3P/4B4/4AK3/3A2B2 w
4步杀3425,1C2ka3/8r/3a5/C3p3p/2R3p2/9/P3c1n1P/9/3p5/2BAKAB2 w
4步杀3426,2b1ka3/3Ra4/3Pb4/9/9/7r1/2Pnc4/1C1CB3B/4Ap3/3AK3c w
4步杀3427,3a1aC2/2PcPn3/2nkb3R/9/2b6/9/9/7C1/5p3/2rAK1p2 w
4步杀3428,3a1a3/4k1P2/4CP3/9/9/9/9/2R6/r1C1r4/3K1p3 w
4步杀3429,2ba4C/1nR1a4/4bk3/4p1p2/5P3/5n3/4PC3/3A5/3K2crc/3Ar4 w
4步杀3431,3aP4/3kaP3/3rbP3/C1n6/6b2/3RC4/9/9/2p1p4/3K5 w
4步杀3432,3ak1CR1/3Pa4/b3c4/p7p/9/3n5/P1p5P/1C1r5/9/2BAKAB1c w
4步杀3433,3CC4/3PPP3/1P3kcPr/5rp1c/5R3/9/9/5p3/4p4/5K1p1 w
4步杀4206,2b1k4/R7r/4b4/9/9/1R7/4P4/C8/2pp5/c3K4 w
4步杀4207,2b1ka3/cR2aP1c1/4b4/4CR3/9/9/9/9/5p2r/4K4 w
4步杀4208,2b1ka3/cR2aP1c1/4b4/4CR3/9/9/9/9/r4p3/4K4 w
4步杀4209,4kabC1/1R2a1P2/n3b4/5R3/9/9/9/3p5/2r1p4/3K5 w
4步杀4210,2C1ka1R1/9/1P3R3/6p2/2b6/3n5/9/3p5/1r2p4/3K5 w
4步杀4211,C1rak1b2/R3a4/4b1n2/9/p8/3R5/6P2/4B4/4A4/c2K1AB2 w
4步杀4212,2b1k1b2/3Ra4/2r2a2r/6R2/4P4/7C1/9/9/4p4/5K3 w
4步杀4213,2b1ka2r/1R2aP3/4b4/6C2/9/6R2/9/3p5/2r1p4/3K5 w
4步杀4214,2ra2b2/3k5/3ab4/3R5/2pPC4/4R4/9/9/1r1p1p3/4K4 w
4步杀4215,3k1ab2/4a4/2R1P1r2/9/2b6/2B6/9/6C1R/rp2A1pp1/2B1KA3 w
4步杀4216,1Cbak1b1R/R3a1P2/9/9/4c4/9/9/9/2r3r2/4K4 w
4步杀4217,2bak4/4a4/4b1c2/9/2p6/5R3/8P/2C1B4/2rrA4/2B1KA1R1 w
4步杀4218,1Cba1k3/1R2a4/4b1n2/9/4p2r1/3RP4/9/4B4/4Ar3/3AK1B2 w
4步杀4219,3a1kb2/3Pa3R/3nb4/9/9/R8/9/C4p3/1r2r1p2/5K3 w
4步杀4220,2b1k1b2/3Ra4/2r2a2r/6R2/4P4/7C1/9/4B1n2/3pA1p2/5KB2 w
4步杀4221,2R6/C2Rak3/4ba2b/9/4P4/9/1rp5r/1n2B4/3pA4/3AK1B2 w
4步杀4222,4R4/5k3/6R2/5C3/3cPP3/9/9/3n5/4p2r1/5K3 w
4步杀4223,3rkab2/4a4/4c3n/p3R1p2/6b1p/9/P4R2P/3A3C1/c8/2BA1KB2 w
4步杀4224,1Cbakc3/5R3/3a2R2/4p4/p1b3p2/9/P5P2/nn6B/4A4/4KAB1r w
4步杀4225,3ck1CR1/3Pa2R1/3ab4/p8/9/8P/2r6/3A5/4A4/r1BK5 w
4步杀4226,2ba1k3/3Pa4/2r1b4/4CP3/2p6/R8/3rP4/4B4/3pA4/2BA1K1R1 w
4步杀4227,3k2P2/4PP3/4P4/9/9/9/3p3RR/3p5/1nn1p3C/3K5 w
4步杀4228,2b1ka1r1/4a4/r1nRb4/p1p1C3p/6p2/2P6/P3P3P/4B4/4A4/1R1K1AB2 w
4步杀4259,3k1a3/4a4/b3bR1P1/9/2p6/6C2/5p3/9/2rcK1n2/CR7 w
4步杀4260,3aR4/2P2k3/5a3/9/9/1n6C/3p1R3/9/1nr1p4/1p1K1C3 w
4步杀4261,1R3nb2/3kaR1n1/4b4/3P5/9/6B2/9/4B1CC1/4Acc1r/5K3 w
4步杀4262,1n1k1cb2/R3aP3/3ab4/2R6/9/8C/9/B3CA3/1r1pA2nc/2B1K4 w
4步杀4263,1Cbak4/3Ra4/3P3R1/9/6b1C/9/7r1/9/4p1r2/5K3 w
4步杀4264,3a5/2r1ak3/5c2b/1P3R3/Cr7/9/5C3/5A3/3p1p3/4K1R2 w
4步杀4265,3k5/4P4/4b2R1/9/4n4/1C7/4p1r2/4B4/2r1A4/R2AKCB2 w
4步杀4266,3k1ab1C/R3aR3/2n1b2cr/9/9/9/3rP4/3pp2C1/9/5Kc2 w
4步杀4267,3a1k3/1C1Pa1R2/b3b2c1/4P1R2/9/9/r8/4c2C1/2p1p4/3K5 w
4步杀4268,1P1k1ab2/4a4/3cb1R2/3R1P3/9/6C2/9/4C3c/3p1rn2/4KA3 w
4步杀4269,2baka3/5rc2/2n1b4/p1CRp3p/9/3R5/P3c3P/2C3n2/9/2BAKAB2 w
4步杀4270,1Rbakabc1/9/9/2CR5/p3C4/3p3rP/P8/4B1r2/c3A1p2/2BA1K3 w
4步杀4271,2Paka1R1/CR4P2/4b4/9/9/1C7/4c4/9/2nr1p3/1r1cK1B2 w
4步杀4272,3k1Pbcn/4R2P1/3rbcn2/4C4/3R5/9/5p3/5p2C/4p3r/5K3 w
4步杀4273,2b1kac1C/9/4b4/p1R6/1n4r2/P2R3C1/2P1c3P/2n1B4/4A4/4KAB2 w
4步杀4274,2b1k4/R8/1R2b4/2p6/8c/C1P3P2/P1r6/4B4/4A3r/2B1KAC1c w
4步杀4275,2baka3/7R1/4c3b/3PR1C2/p3p4/9/P3P4/1r2C1p2/9/c1rAKAB2 w
4步杀4276,2bk1a3/4a4/cR6r/p3C4/1Cb1p1P2/5R3/4Pp2P/2c1B4/3pr4/2B2K3 w
4步杀4277,2b1ka3/4aP3/4b1c2/p1R5C/1n4r2/P2R3C1/2P1c3P/2n1B4/4A4/4KAB2 w
5步杀3300,r2ak4/4a4/4P4/p1C6/9/2B1R4/9/8B/1p5p1/4K4 w
5步杀3328,5k3/4a1P1c/4ba3/1C7/6b2/9/2R6/8B/4An2r/3K1AB2 w
5步杀3348,2b2k3/3Pa1P2/3abcRn1/9/4C4/9/9/3AB4/1p2Ap3/2B1K4 w
5步杀4705,3a5/9/3a1k3/4C4/5P3/9/9/7R1/4p1p2/5K1p1 w
5步杀4706,4k4/4aP3/4b4/9/4R4/6B2/3pC4/4B4/1pp1A1p2/3K5 w
5步杀4707,5a3/3kaP3/4b4/7C1/9/7R1/9/9/1n1p1p3/4K4 w
5步杀4708,3a5/3Pak3/4b4/9/7C1/3R5/9/9/1r2p4/3K5 w
5步杀4709,4k1b2/4aP3/3a5/9/R1C6/9/9/9/4r1p2/5K3 w
5步杀4710,2bak3C/4a1P2/4b4/3R5/9/9/4p4/8B/6p1r/3K1AB2 w
5步杀4711,3k1ab2/4a4/4P3b/9/6C2/6B2/9/2R1B2r1/4A1pp1/4KA3 w
5步杀4712,3ak3C/4a1P2/4b2Rb/8p/9/9/9/2p1KA2B/4Ap2r/6B2 w
5步杀4713,2bak4/2P1a4/9/7Rp/3C5/6B2/9/2p2K3/4Ap1pr/5A3 w
5步杀4714,c4a3/3ka4/2P1R3b/7C1/9/9/3r5/3A5/9/2BAK1B2 w
5步杀4715,3a5/3Pak3/4b4/9/8C/9/3R5/9/cr2p4/2BK5 w
5步杀4716,4k1b2/4aP3/3a5/RC7/2b6/6B2/9/4p4/1c2A2r1/3A1K3 w
5步杀4717,9/3ka2R1/2Pab4/9/6r2/4C4/4c4/4B4/4Ap3/3AK1B2 w
5步杀4718,3a2R2/4ak3/b8/4pP3/9/1C7/9/9/4p2r1/5K2c w
5步杀4719,R2ak4/3P5/2C1b4/9/2b6/9/9/3c5/1r2p4/3K1p3 w
5步杀4720,4ka3/4a2R1/2P1b4/9/2b6/8C/9/3A5/1r1p1p3/c3K4 w
5步杀4721,3k5/2P1a4/3ab3b/9/4C4/5p3/7p1/5A2r/4A4/2BR1K2c w
5步杀4722,CR1ak1b2/5P3/b3c4/9/2pr5/6B2/9/4B4/3pA4/3AK4 w
5步杀4723,c1baR1b1c/4a4/4k4/9/4P4/9/8C/9/2rp1p3/4K4 w
5步杀4724,2b1k4/3Pa4/4bc3/1C7/4R4/9/9/6p1B/3KA4/1cpA2B1r w
5步杀4725,2baka3/3Pn4/4b2R1/8C/2r6/2B6/9/3AB4/4A4/4K4 w
5步杀4726,3ak3C/3Pa4/4b3b/9/9/2B6/3n5/3AB4/3rAR3/4K4 w
5步杀4727,4k4/4aP3/3a5/9/9/2C6/4n4/1R2B2r1/4p4/2B2K3 w
5步杀4728,5kb2/4a1P2/5a3/4R2C1/9/8n/9/9/3pA1r2/3A1K3 w
5步杀4729,3a5/3Pak3/4b4/9/7C1/7R1/9/2n6/r2p1p3/4K4 w
5步杀4730,2ba1k3/3Ra1P2/r3bcn2/1C7/9/9/9/9/4p4/3K5 w
5步杀4731,4ka1RC/4a4/2P1b4/9/2b6/9/9/9/1cnr1p3/4K4 w
5步杀4732,2C2a3/3Par3/5k3/4R4/9/9/9/4B4/3nAp3/c1BAK4 w
5步杀4733,9/3ka2R1/2Pab4/9/2n3r2/2B1C4/4c4/4B4/3pAp3/4K4 w
5步杀4734,3akab1C/6P2/9/3R5/6b2/9/3p5/8B/5p2r/3K1ABcn w
5步杀4735,5a3/3ka4/4b4/1R1P5/2b6/9/7C1/2r1p4/2npA4/c1BA1K3 w
5步杀4736,3n5/2R1a4/1C2ka3/2P6/1n7/9/9/3A4B/3pA3r/5KB2 w
5步杀4737,2b2k3/3Ra4/3abP3/7C1/2r3r2/9/9/9/4p4/3p1K3 w
5步杀4738,3a5/3P1kr2/5a3/9/9/9/3R5/2C6/2p2p3/rc1K5 w
5步杀4739,4ka3/9/4P1R2/9/9/9/2n6/3K5/2r6/1r5C1 w
5步杀4740,2n6/8r/2rnk4/5PRC1/9/9/9/9/4p4/5K3 w
5步杀4741,6n2/r8/4knr2/1CRP5/9/9/9/9/4p4/3K5 w
5步杀4742,4ka3/4a4/2P1P3b/4p4/9/4C1p2/3R5/2p2A2r/6p2/4KA3 w
5步杀4743,2b1k4/2PPa4/3ab4/8R/2p6/7C1/2r1p4/1p1AB4/4Ap3/2BK5 w
5步杀4744,4k1b2/4aP3/4Pa3/4p2CR/r1b6/9/9/3AB4/4Ap3/c2K5 w
5步杀4745,6r2/4aP3/b2k1a2b/2P6/6p2/9/4c4/1R1Ap2CB/4A2p1/2B1K4 w
5步杀4746,4kab2/2R6/3P5/9/8C/6B1P/4n4/8B/4K2pr/3p1A3 w
5步杀4747,6r2/4aP3/b2k1a2b/2P6/6p2/9/4n4/1R1Ap2CB/4A2p1/2B1K4 w
5步杀4748,2b1ck1P1/4P2n1/c3b4/5C3/9/9/9/3p1R3/2rr5/4K4 w
5步杀4749,2bak1c2/4aP3/4b1PP1/4C4/9/3R5/9/9/r3p4/3K5 w
5步杀4750,3P1k3/6P2/4P4/9/2C4r1/9/9/9/2r1p4/2RK5 w
5步杀4751,4R1P2/6P2/5k3/3P5/3npc3/3r2C2/3p2p2/3rnK3/9/9 w
5步杀4759,4k2C1/5P3/3a1a3/9/8R/2B6/9/B7C/2r1p4/1c3K3 w
5步杀4760,4k2r1/4aP3/4c4/9/9/9/CCR6/4p4/3pAp3/3AK4 w
5步杀4762,4k4/3Pa4/4c4/6RCC/9/9/1c7/9/3r1p3/2BAKAB2 w
5步杀4763,4k4/4aP3/4c4/CCR6/2b3b2/9/5r3/4B4/4Ap3/2BAK3c w
5步杀4764,4k4/1C3P3/4c4/9/9/9/9/C2R5/3p1p1r1/4K3c w
5步杀4765,3a3R1/3C5/3a1k3/4C4/5Pp2/9/9/9/4p4/5K1nr w
5步杀4766,4k2C1/5P3/3a1a3/8R/9/9/9/B2nB3C/3rp4/c4K3 w
5步杀4767,1RC1kab2/4a4/2P1c4/4p4/9/3C5/9/4p1n2/4A4/3AK1Br1 w
5步杀4768,C3ka3/4aP3/nR2c4/p8/6b2/9/9/2C6/3p1p3/c1rAK4 w
5步杀4769,6b2/5RP2/CrCk4n/9/6b2/9/9/9/2np1p3/3AKA3 w
5步杀4770,3ak1b1r/4a2Pn/4b4/4C4/9/9/cR7/n8/4A1p2/3AKC3 w
5步杀4771,r1b1ka3/nP2a4/4b4/4C4/9/9/7Rc/8n/2p1A4/3CKA3 w
5步杀4772,3k1a3/CRP1an3/3nb4/1C7/6b2/6B2/9/5p3/4p1pr1/c4K3 w
5步杀4773,2bakab2/3P5/2n3n2/9/4C1c2/4R4/4p4/3pC4/4p1r2/3p1K3 w
5步杀4774,2r1k2CR/3Pa4/5a3/9/9/6Cr1/9/3p5/4p4/3K5 w
5步杀4775,7r1/4ak3/4b4/1R7/5P3/9/2r1C4/6p2/3p2C2/4K4 w
5步杀4776,3k5/2P1r1R2/5C3/9/9/4p4/5p1r1/3C1p3/4p4/5K3 w
5步杀4777,c3k3C/2P1a4/4ba2b/9/9/2C6/9/3RB4/1p2A1prr/2BK1A3 w
5步杀4778,4k1b2/4aP3/4c4/CCR6/2b6/9/5r3/4B4/4A2r1/2B1K3c w
5步杀4779,4k1b2/4aP3/4c4/CCR6/2b6/9/5r1n1/4B4/4A2r1/2B1K4 w
5步杀4780,4P4/3k5/3a1a3/9/1rC6/3R5/9/9/1rnC1p3/c3K4 w
5步杀4781,1Rbk5/2P1a4/5a3/6C2/2c3n2/2B3cC1/8r/4B4/4r4/5K3 w
5步杀4782,4k1b2/4aP3/4c4/CCR6/2b6/9/5r1n1/4B4/4A2r1/2B1K3c w
5步杀4783,C3ka3/4aP1r1/nR2c4/p8/9/9/9/2C6/9/c1rAK4 w
5步杀4784,C3ka3/4aP2r/nR2c4/p8/9/9/9/2C6/9/c1rAK4 w
5步杀4785,C3ka3/4aP1r1/nR2c4/p8/6b2/9/9/2C6/3p1p3/c1rAK4 w
5步杀4786,C3ka3/4aP1r1/nR2c3b/p8/6b2/9/9/2C6/3p1p3/c1rAK4 w
5步杀4787,2P1k4/4a4/9/9/9/3r5/8r/4n2n1/4pRp1C/4CK2c w
5步杀4788,1nb1ka3/4a4/4c4/2p1C4/9/3Rcr3/P8/n3C4/4Apr2/4KA3 w
5步杀4789,3ak1bn1/4a4/4c4/4C1p2/9/3rcR3/8P/4C3n/2rpA4/3AK4 w
5步杀4790,2b2kc2/3PP4/4br3/6C2/6C2/6R2/3p5/4pA3/4A4/3K5 w
5步杀4791,c3k1C2/1c3P3/5a3/2P6/7R1/7C1/3r5/9/4p1p2/5K3 w
5步杀4792,4ka1R1/2PP5/3an3b/4p4/6b2/1C7/9/4C4/1rp1p4/3K5 w
5步杀4793,2b1k4/2PPaR3/3ab4/4C4/9/8C/9/1n7/2r1p4/c2K5 w
5步杀4794,3ak3C/3Pa4/7Rn/4P1C2/2b6/9/8n/9/3p1p3/4KAr1c w
5步杀4795,8C/3k4C/3a1P3/9/9/1R2P4/9/2n6/2r2r3/4K4 w
5步杀4796,9/4ak3/4b4/4C2C1/2PR2p2/9/1r2P1P2/B1p6/3KA4/c4p2c w
5步杀5490,c2a1k3/3Ra4/4c1P2/7R1/9/9/9/1C2B4/1r7/2BK5 w
5步杀5491,3a1kb2/4c2R1/4b1R1c/9/5P3/9/9/9/2r1p1pC1/5K3 w
5步杀5492,2bak3C/3Pa4/4b4/6R2/9/2B4R1/9/4B4/2nrAp3/4KA3 w
5步杀5493,9/3ka4/9/3P2R2/6b2/6R2/9/2C2p1n1/4p3r/5KB2 w
5步杀5494,4k4/3Pa4/1r1c1a3/6R1R/4p1b2/9/9/7C1/4A1p2/1cnA1K3 w
5步杀5495,r2aka3/3P5/8R/8C/4r4/6R2/9/3p5/4p4/3K1p3 w
5步杀5496,2ra2b2/3ka4/4b4/4R4/2pPC4/4R4/9/9/1r1p1p3/4K4 w
5步杀5497,C1bak4/4aR3/5cr2/9/4P4/3R5/9/9/2r1p4/3K5 w
5步杀5498,2bcka3/4a4/4b4/R8/2p1C4/9/P8/3RB1r2/4Ar3/4KABc1 w
5步杀5499,2bcka3/4a4/4b4/R8/2p6/4C4/P8/3RB1r2/4Ar3/4KABc1 w
5步杀5500,2b1ka3/1R2aP1n1/6R2/9/9/2r3C2/9/6p2/3rA4/5K3 w
5步杀5501,2b1ka3/1R2aP1n1/6R2/9/9/2r3C2/9/9/3rp1p2/5K3 w
5步杀5502,2b1ka3/1R2aP1n1/3c2R2/9/9/6C1r/9/6p2/3rA4/5K3 w
5步杀5503,4c4/4ak3/5aP2/9/9/7R1/3r1r1RC/4p1n2/9/4K2c1 w
5步杀5504,4ka3/3RaP1n1/6R2/4p4/9/2p3C2/9/3Ap4/2rrA4/cnB2K3 w
5步杀5505,4P4/3ka4/3ab4/5P3/2b6/9/7R1/B1r2A1R1/3cAp3/2B1K1p1C w
5步杀5506,4R4/9/5k3/5C3/3cPP3/9/9/3n5/4p2r1/5KR2 w
5步杀5507,3nkab2/3Pa4/b8/p1p5p/1R6c/2P1r4/9/9/4CR1n1/3AKA3 w
5步杀5508,2bakr2c/4aP1R1/b3c4/9/9/6R2/1r6P/4B3C/3pAp3/4KAB2 w
5步杀5509,3ak4/1n1PaR3/2R6/9/4P4/2C6/9/9/4prr2/3K4c w
5步杀5510,3ak1b2/4a3R/4b4/R3Cr3/2p5n/6B2/2P5P/8B/4A4/c1rAK4 w
5步杀5511,4k4/5Pn2/5ac1b/3P5/9/7R1/9/7R1/1nr1r4/3K1p1C1 w
5步杀5512,2b1ka3/4a4/2r3P1R/p3p2rp/9/9/P7P/4C4/3pAR3/c3KA3 w
5步杀5513,4k1bn1/R3aP3/3ab3r/p8/9/2P6/3R4P/3pBC3/2r3p2/3AKABc1 w
5步杀5514,C1ba1k3/7R1/2n1n4/6p1p/2p2r3/P2R2P2/2P1c3P/4B4/4A4/2BAK4 w
5步杀5515,1RCk1ab2/4a2r1/2P1c4/p7p/6p2/4p1P2/P3r3P/4B4/4A4/2BAK1R2 w
5步杀5516,C1ba1k3/7R1/2n1n4/6p1p/2p2r3/P2R2P2/2P1cr2P/4B4/4A4/2BAK4 w
5步杀5547,2b1ka3/3Pa4/4b1c2/6RC1/3R2c2/8C/9/2n6/3p3r1/4K4 w
5步杀5548,3ak1b2/4aP3/2c1b4/1CR6/2c2R3/C8/9/6n2/1r3p3/4K4 w
5步杀5549,2b1ka3/3Pa4/4b1c2/6RC1/3R2c2/8C/9/2nA5/3p3r1/2B1KAB2 w
5步杀5550,3aR4/2P1ak3/9/9/9/1n3C2C/3p1R3/9/1nr1p4/1p1K1p3 w
5步杀5551,1Rb1ka3/3Ra4/bC1Pc4/9/9/9/3r3r1/3CB4/4Ap3/3AK3c w
5步杀5552,r4k3/C5P2/5a2b/9/p8/CR2R4/9/4K1p2/3r5/2n6 w
5步杀5553,4ka3/3Pa4/r3b2R1/2C6/6b2/8C/8n/B4c2B/5p2r/3K1A1R1 w
5步杀5554,4k1c2/4aP3/4c4/C1R6/9/9/2Rn2r2/1C2r4/4A4/3AK1B2 w
5步杀5555,r1bk5/c1P1aRc2/r2ab3n/4C4/7RC/9/9/9/4p4/3K5 w
5步杀5556,r1bk5/c1P1aRc2/r2ab3n/4C4/9/7RC/9/5p3/4p4/5K3 w
5步杀5557,3ak1bR1/4a4/2P3R1b/4P4/9/9/5C3/2n1p4/3rCp3/c3K4 w
5步杀5558,2nakab2/2R2P3/b8/4P4/RC7/9/4c4/4Crn2/4A4/2BAK3c w
5步杀5559,1r1a1k3/4a1P2/3P4b/9/5rRC1/2n6/2C6/7R1/3p1p3/4K4 w
5步杀5560,3ak1b2/2P1aR3/b5n2/p3p3p/4c1p2/9/P2R2P2/1C2B2C1/4AK1n1/2BA2r2 w
5步杀5561,2bak1b1r/4aRc2/6r2/p3p3p/2p1c4/9/P1PR4P/1C2B2C1/4A4/2BK1A3 w
5步杀5562,2b1ka3/4aP3/4b1c2/p1R5C/6r2/P2R3C1/1nP1c3P/2n1B4/4A2p1/4KAB2 w
5步杀5563,4kCb2/2R1CR3/4b4/p3p2rp/2p6/3n5/P3P1P1P/4n4/6r2/1cBAKA3 w
6步杀4761,C1b6/1RCk5/5a3/2p6/2b6/6B2/P8/6p2/4A1rp1/4KABc1 w
6步杀5999,4k4/4a4/4Pa3/7C1/4p4/8R/9/4B4/2p1p2n1/3K5 w
6步杀6000,R2ak1b2/3P5/4b4/9/9/1C7/3c1n3/4B4/4p4/3K1ABc1 w
6步杀6001,2ba1k3/4a1P2/c3bcn2/1C7/3R5/9/9/2p1B4/4p4/3K2B2 w
6步杀6002,3k1ab2/2P1a4/2ncb3c/7C1/5R3/9/9/4B1p2/4p4/2B2K3 w
6步杀6003,2ba1k3/4a1P2/c3bcn2/1C7/9/3R5/9/4B4/2p2p3/1pBK5 w
6步杀6004,2b6/4k2C1/4bP3/3R5/9/2B6/6p2/1n3Ap2/1p2A2n1/2BK4c w
6步杀6005,5a3/3ka4/9/2P6/7r1/2R6/9/7C1/3p1p3/4K4 w
6步杀6006,2ba5/4ak3/9/6P1p/9/7r1/9/3R3C1/3p5/4K4 w
6步杀6007,5a3/2r1a4/4bk3/9/4P1b2/9/7c1/9/4KC3/3R5 w
6步杀6008,9/4ak3/1c7/6P2/9/7RC/9/1r3A3/5p3/4K4 w
6步杀6009,9/4ak3/1c7/6P2/9/7RC/9/2r2A3/5p3/4K4 w
6步杀6010,9/3ka2R1/2Pab4/9/5r3/4C4/4c4/4B4/4Ap3/2BAK4 w
6步杀6011,R1C1k4/3Pa4/4b4/9/2b6/9/9/3c5/1r2p4/3K1p3 w
6步杀6012,4k4/4a4/4Pa3/6C2/4p3R/9/9/1rp1c4/4A4/3K1A3 w
6步杀6013,4k4/3Pa4/4ba3/4R4/2b6/4C4/5p3/4BA1p1/2p1AK1c1/2B5r w
6步杀6014,3k5/5P3/b2a5/9/2b6/6B2/3n5/9/2r1AK1C1/1R3AB2 w
6步杀6015,2b6/3kn4/2R1ba3/4C4/3P5/9/9/9/2p1p1r2/3K5 w
6步杀6016,2bk1a3/4aP3/b8/9/9/9/1R7/BC3A3/1pp6/rn1AK1B2 w
6步杀6017,9/3ka4/5a3/2P4R1/9/9/5r1n1/C8/9/2B1KAB1c w
6步杀6018,3k1a3/r1P1a4/b3b4/4C4/9/6R2/7n1/2p6/4A4/c3KA3 w
6步杀6019,3ak4/4aP3/2R1b4/9/6b2/6B2/9/3C1Ap1B/3KAnrp1/8c w
6步杀6020,2b2r3/3kn4/2R1b4/4P4/8c/8C/9/3p5/2p1p4/3K5 w
6步杀6021,2ba1k3/4a1P2/c3bcn2/1C7/3R5/9/9/7r1/4p4/2BK5 w
6步杀6022,3akab2/1C2n1P2/2n6/9/9/1R7/9/B8/r2pA4/2BA1K3 w
6步杀6023,9/4ak3/9/7R1/5P3/9/9/9/1r1r2p2/4K3C w
6步杀6024,3a5/4ak3/9/3R5/5P3/r8/9/7C1/r2p5/4K4 w
6步杀6025,4k4/4a3R/4Pa3/7C1/4p4/9/9/2r6/5r3/3K5 w
6步杀6026,4k4/R3a4/3aP4/1C7/4p4/9/9/6r2/3r5/5K3 w
6步杀6027,5a3/3ka4/9/5R3/3P5/8r/9/1C7/5p2r/4K4 w
